filename,operator,time,test,Geno,plant,plot,whirl_id,line_raw_slope (N/m),line_push_slope (N/m),ransac_slope(N/m),ratio captured,points
./data/FirstSet/2019_9_2_13_1_28.csv,JR,9AM,red,CML258,5,Plot B,1383,224.0668237,162.4841846,166.8256371,0.647058824,17
./data/FirstSet/2019_9_2_13_1_50(11).csv,JR,9AM,black,CML258,5,Plot B,1383,224.6258129,170.5838116,211.2301473,0.722222222,18
./data/FirstSet/2019_9_2_12_56_12.csv,JR,9AM,blue,CML258,6,Plot B,1383,310.1114953,314.9890924,283.7623247,0.888888889,18
./data/FirstSet/2019_9_2_13_1_50.csv,JR,9AM,red,CML258,6,Plot B,1383,253.0423415,224.7081434,223.7755712,0.777777778,18
./data/FirstSet/2019_9_2_13_1_50(12).csv,JR,9AM,black,CML258,6,Plot B,1383,270.787885,257.0548273,344.9314785,0.842105263,19
./data/FirstSet/2019_9_2_12_56_51.csv,JR,9AM,blue,CML258,7,Plot B,1383,235.5555479,436.7747334,389.8797137,0.8,10
./data/FirstSet/2019_9_2_13_1_50(2).csv,JR,9AM,red,CML258,7,Plot B,1383,250.8083501,272.0789687,259.5276704,0.80952381,21
./data/FirstSet/2019_9_2_13_1_50(13).csv,JR,9AM,black,CML258,7,Plot B,1383,286.2606332,237.2320589,242.2865753,0.8,20
./data/FirstSet/2019_9_2_12_57_19.csv,JR,9AM,blue,CML258,8,Plot B,1383,213.1398113,208.3875145,171.7617064,0.818181818,22
./data/FirstSet/2019_9_2_13_1_50(3).csv,JR,9AM,red,CML258,8,Plot B,1383,250.2529426,384.1215067,287.1924612,0.526315789,19
./data/FirstSet/2019_9_2_13_1_50(14).csv,JR,9AM,black,CML258,8,Plot B,1383,272.9095114,277.1653183,325.6533073,0.863636364,22
./data/FirstSet/2019_9_2_12_57_25.csv,JR,9AM,blue,CML258,9,Plot B,1383,217.9354253,170.803394,176.7794965,0.736842105,19
./data/FirstSet/2019_9_2_13_1_50(4).csv,JR,9AM,red,CML258,9,Plot B,1383,185.8324494,226.73082,241.2676035,0.764705882,17
./data/FirstSet/2019_9_2_13_1_50(15).csv,JR,9AM,black,CML258,9,Plot B,1383,214.6263954,209.0341675,229.9854332,0.85,20
./data/FirstSet/2019_9_2_12_57_42.csv,JR,9AM,blue,CML258,10,Plot B,1383,264.4244365,312.3198701,261.7544958,0.904761905,21
./data/FirstSet/2019_9_2_13_1_50(5).csv,JR,9AM,red,CML258,10,Plot B,1383,214.1062662,191.7730824,161.0077159,0.625,16
./data/FirstSet/2019_9_2_13_1_50(16).csv,JR,9AM,black,CML258,10,Plot B,1383,177.712811,256.3049985,312.6248141,0.666666667,18
./data/FirstSet/2019_9_2_12_58_6.csv,JR,9AM,blue,CML258,11,Plot B,1383,101.3602192,90.46516427,129.7357517,0.833333333,18
./data/FirstSet/2019_9_2_13_1_50(6).csv,JR,9AM,red,CML258,11,Plot B,1383,84.9558035,82.37685083,127.7425395,0.857142857,21
./data/FirstSet/2019_9_2_13_1_50(17).csv,JR,9AM,black,CML258,11,Plot B,1383,80.58933068,96.20214838,111.7525723,0.666666667,18
./data/SecondSet/2080_1_5_23_59_45.csv,JR,12PM,blue,CML258,1,Plot B,1383,278.5970087,366.4293985,509.9253168,0.80952381,21
./data/SecondSet/2019_9_2_15_38_26.csv,JR,12PM,red,CML258,1,Plot B,1383,285.9869262,306.6978346,313.2712923,0.608695652,23
./data/SecondSet/2019_9_2_15_44_30.csv,JR,12PM,black,CML258,1,Plot B,1383,322.4275651,338.1379465,387.3532341,0.608695652,23
./data/SecondSet/2080_1_5_23_59_48.csv,JR,12PM,blue,CML258,2,Plot B,1383,235.1137194,223.6950162,228.2200952,0.875,16
./data/SecondSet/2019_9_2_15_38_48.csv,JR,12PM,red,CML258,2,Plot B,1383,218.7332919,221.9522826,247.6709907,0.875,16
./data/SecondSet/2019_9_2_15_44_48.csv,JR,12PM,black,CML258,2,Plot B,1383,240.0447412,223.5776413,255.5542214,0.9,20
